Timestamp,Age range?,Current work situation? ,"Do you use voice dictation, voice notes, or voice-to-text tools in your work? ( e.g., Kivi, Google's voice typing, iPhone dictation, WhatsApp voice notes, Otter.ai, Google Recorder )","How much of your day involves switching between multiple tools/apps (Slack, email, docs, calls, AI Tools)? ",Which AI tool do you rely on most overall? ,"Has an AI ever surprised you by remembering something from an earlier chat like your name, your job, something you like, or a past conversation? ","Overall, how comfortable are you sharing personal data with AI tools (ChatGPT, Claude, Gemini, Kivi, Siri, Alexa etc.)? ", What would AI tools need to do differently for you to trust them more with your data? (checkbox — select all that apply),"Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Project & people context — remembers who's on which project, client names, team roles]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [My working style — how I like emails/messages written, my tone, formatting habits]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Past decisions & discussions — what was already discussed or decided in earlier meetings/calls]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Deadlines & commitments — things I've promised, due dates I've mentioned out loud]","Rank these from most to least useful if your work assistant remembered them. (1 = most useful, 5 = least useful)   [Recurring tasks/routines — things I do every week (status updates, reports, standups)]","Anything else from your work life you'd want it to remember? (optional, short text)  ","Would you want your assistant's work memory to reset for a new job or new team, or should it just add on top of old context? ","Would you be comfortable with your assistant remembering things like performance feedback, salary discussions, or conflicts with a manager/colleague, if you mentioned them? ","Rank these from most to least useful if your assistant remembered them about your personal life   [People & relationships you mention (family, friends, names)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Habits & routines (sleep, workouts, daily patterns)]","Rank these from most to least useful if your assistant remembered them about your personal life   [Preferences (food, entertainment, hobbies)]",Rank these from most to least useful if your assistant remembered them about your personal life   [Personal goals or plans you've mentioned],"Rank these from most to least useful if your assistant remembered them about your personal life   [Recurring personal commitments (birthdays, events, routines)]",Anything else from your personal life you'd want it to remember? (optional and short text),"Which of these would you NOT want an AI to remember automatically, even if you mentioned it in passing? ","Imagine you're dictating a work email and you casually mention something personal — like 'sorry, running late, just left a doctor's appointment.' Should your assistant remember that personal detail too, or should it only pick up on the work-related parts? ","Should personal memory fade over time (e.g., an old hobby or an outdated relationship detail), or should it stay stored until you delete it yourself? ","Would you be comfortable with your assistant remembering sensitive personal moments — like something said during an argument, a health scare, or a low moment — if you mentioned it out loud? ",What would make you MORE comfortable letting an AI remember personal (not work) details about you? ,"What's one thing you wish your AI assistant already knew about you, without having to explain it every time? ","Tell us about a time an AI assistant either really understood you, or got something wrong/made up an answer — what happened? ","What's one thing that would make you trust an AI assistant less, permanently? "
07/09/2026 09:11:44,20-24,Student,Rarely,A few times a day,Gemini,"No, it always starts fresh like we've never talked before",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,2nd,2nd,2nd,2nd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",3rd,3rd,3rd,3rd,3rd,,"Relationship status or conflicts, Financial situation",Depends on how personal or sensitive it is,Fade automatically after a while,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",Temperament ,Some AIs have context and narrative sensitivity- understood things which are not very generic and could come up with better ways to express the same thing that I was trying to express.,"Ambiguity about data privacy, news reports about data leak "
07/09/2026 09:19:03,16-20,Student,A few times a week,Rarely,ChatGPT,"Yes, once or twice",Very comfortable — I don't think much about it,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Most useful,3rd,4th,Least useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,3rd,2nd,Most Useful,4th,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
07/09/2026 09:31:25,24-32,Student,Never,Constantly,Claude,"Yes, once or twice",Somewhat comfortable — I share but stay a little cautious,"Ask permission before saving something new, Explain why they used a piece of information",2nd,Most useful,Most useful,2nd,3rd,,Let it figure out what's still relevant on its own,"No, keep sensitive work topics out entirely",3rd,2nd,3rd,Most Useful,3rd,,"Relationship status or conflicts, Your emotional or mental state","Yes, remember it just like anything else",Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
07/09/2026 10:19:29,24-32,Student,Rarely,A few times a day,Both Gemini and chatgpt,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Never share my data with other companies/products, Nothing — I don't think I'll ever fully trust it",2nd,Most useful,2nd,2nd,3rd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,3rd,2nd,3rd,2nd,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","Yes, if it helps me later, Yes, only if this doesn’t cause privacy breach","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Nothing — I'd never be fully comfortable with this","One explained, my style and preference of writing, I don’t want to explain it again and again, and it should not be stolen and applied elsewhere. Should remain for me. ","AI is people pleaser! 😂. It would always justify whichever side I tell it. Show the opposite side more wrong, and my side right, always, whether the story is shared from one side or other. ","My biggest concern is privacy issue. I always feel my data is being stored, supervised, assessed, and used as a training material. I always feel the more I share with AI, my uniqueness decreased, for it learns from it, and applies the same to everyone. "
07/09/2026 10:22:16,24-32,Student,Never,Constantly,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Let me delete or edit stored data easily, Ask permission before saving something new",Most useful,Most useful,Most useful,3rd,3rd,,Let it figure out what's still relevant on its own,"No, keep sensitive work topics out entirely",3rd,Most Useful,Most Useful,3rd,3rd,,"Relationship status or conflicts, Health or medical details, Financial situation",Depends on how personal or sensitive it is,"Let me choose, per item","No, keep sensitive personal moments out entirely",Being able to delete it instantly,,,
07/09/2026 10:22:55,24-32,Student,Rarely,A few times a day,Claude,"Yes, more than once",Not comfortable at all,"Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,3rd,3rd,3rd,3rd,,"Reset completely — new job, new slate","No, keep sensitive work topics out entirely",Least Useful,3rd,2nd,2nd,3rd,,"Relationship status or conflicts, Financial situation, Your emotional or mental state","No, only remember the work-related part",Stay stored until I manually delete it,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Being able to delete it instantly",,,
07/09/2026 10:56:35,20-24,Student,A few times a week,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others",Clearly show me what they've stored about me,Most useful,Least useful,Least useful,Most useful,2nd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",3rd,Most Useful,Most Useful,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation",Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
07/09/2026 11:25:15,20-24,Student,A few times a week,A few times a day,Gemini,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,2nd,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",3rd,Most Useful,Most Useful,Most Useful,2nd,,"Relationship status or conflicts, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
07/09/2026 11:32:27,20-24,Working professional (individual contributor),Never,A few times a day,Claude,"Yes, once or twice",Not comfortable at all,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",3rd,3rd,Most useful,2nd,2nd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",Least Useful,Least Useful,Least Useful,Least Useful,Least Useful,i dont want ai in personal life,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",dont take personal memory,"No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
07/09/2026 11:35:41,20-24,Student,A few times a week,I mostly work in one tool,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Most useful,2nd,3rd,2nd,No,"Keep everything, just let me organize/tag it","Yes, if it helps me later",2nd,2nd,Most Useful,Most Useful,3rd,No,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,"Fade automatically after a while, Let me choose, per item","Yes, if it helps me later","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred","What I like, how I am ",Gets scientific answers a little wrong sometimes.,If my personal information is used anywhere outside.
07/09/2026 11:36:59,20-24,Student,Rarely,Constantly,Gemini,"Yes, once or twice",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Store everything on my device, not the cloud, Nothing — I don't think I'll ever fully trust it",Least useful,3rd,2nd,4th,Most useful,only thing i want it to remember is the technical stuff i know so it can help me learn more,"Reset completely — new job, new slate","Only if I explicitly say ""remember this""",Least Useful,4th,3rd,2nd,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred, Nothing — I'd never be fully comfortable with this",,,
07/09/2026 12:11:50,20-24,Student,Rarely,A few times a day,ChatGPT,"Yes, once or twice",Somewhat comfortable — I share but stay a little cautious,"Let me delete or edit stored data easily, Ask permission before saving something new, Store everything on my device, not the cloud",Most useful,2nd,Most useful,3rd,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Least Useful,3rd,Most Useful,Most Useful,3rd,,None of these — I'm fine with all of it,"No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",My occupation and the stream I am studying right now. Also can extract content from other chats.,Sometimes when you ask the AI to explain something that you have already done it portrays it like it’s very good and useful even though it’s wrong. So you have to correct it on your own. Basically it sometimes gives you a definitive answer when it should be a predictive.,Using my personal information to show me ads. Or if the AI company is selling my personal data online. If the AI just agrees with we rather than arguing when I give something wrong and not correcting it. 
07/09/2026 12:26:55,20-24,Student,A few times a week,Constantly,ChatGPT,"Yes, more than once",Not comfortable at all,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,Most useful,Least useful,Least useful,Least useful,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",Least Useful,4th,3rd,Least Useful,3rd,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Let me choose, per item","Only if I explicitly say ""remember this"", No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",I'm a researcher ,It happened a lot many times ,If shares data.
07/09/2026 12:28:04,20-24,Student,Rarely,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products",Most useful,2nd,Most useful,Most useful,2nd,,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",3rd,2nd,4th,Most Useful,Least Useful,,.,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Yes, if it helps me later","Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
07/09/2026 12:47:38,16-20,Student,A few times a week,Rarely,Claude,"Yes, once or twice",Very comfortable — I don't think much about it,"Store everything on my device, not the cloud",2nd,2nd,2nd,2nd,2nd,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",2nd,Most Useful,Most Useful,2nd,Most Useful,,None of these — I'm fine with all of it,Depends on how personal or sensitive it is,Stay stored until I manually delete it,"Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly",,,
07/09/2026 13:35:25,20-24,Student,A few times a week,A few times a day,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",2nd,Most useful,Most useful,2nd,Most useful,importance of things,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",Least Useful,3rd,2nd,Most Useful,Most Useful,,"Relationship status or conflicts, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",My style of work and the tone and importance i give for particular things,"It generally happens with image generation or a document formatting with information , it gives other or totally irrelevant and for pdf it removes text or does not format/organize well and for answers if it gives wrong we need to constantly change the prompt and try ",That it may share my information or the accuracy of answers that gives 
07/09/2026 14:10:38,24-32,Student,Daily,Constantly,ChatGPT,"Yes, more than once",Very comfortable — I don't think much about it,Ask permission before saving something new,Most useful,2nd,Most useful,Most useful,Most useful,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,,None of these — I'm fine with all of it,"No, only remember the work-related part",Fade automatically after a while,"Only if I explicitly say ""remember this""",Being able to delete it instantly,,,relating all task together
07/09/2026 15:56:28,20-24,Student,A few times a week,Constantly,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Never share my data with other companies/products, Store everything on my device, not the cloud",2nd,Most useful,Most useful,Most useful,2nd,How to answer a given type of question? Strict adherence to format when necessary is required.,Let it figure out what's still relevant on its own,"Yes, if it helps me later",3rd,Most Useful,3rd,2nd,3rd,,Relationship status or conflicts,Depends on how personal or sensitive it is,Fade automatically after a while,"Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred","About basic career, communication style and works pending.",,
07/09/2026 18:33:19,24-32,Student,Daily,Constantly,Claude,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Ask permission before saving something new",Least useful,2nd,2nd,Most useful,Most useful,,"Keep everything, just let me organize/tag it","No, keep sensitive work topics out entirely",Least Useful,4th,4th,4th,4th,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Let me choose, per item","No, keep sensitive personal moments out entirely",Nothing — I'd never be fully comfortable with this,,,
07/09/2026 20:41:46,20-24,Student,Daily,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",2nd,Most useful,3rd,Most useful,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,,None of these — I'm fine with all of it,"Yes, remember it just like anything else",Fade automatically after a while,"Only if I explicitly say ""remember this""",Nothing — I'd never be fully comfortable with this,,,
07/09/2026 21:43:00,24-32,Student,A few times a week,A few times a day,ChatGPT,"Yes, more than once",Not very comfortable — I avoid sharing when I can,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",4th,3rd,2nd,Most useful,Most useful,,Let it figure out what's still relevant on its own,"Yes, if it helps me later",2nd,3rd,3rd,2nd,Most Useful,One week and one day reminder for birthdays,"Relationship status or conflicts, Financial situation","No, only remember the work-related part",Stay stored until I manually delete it,"Yes, if it helps me later","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
07/09/2026 22:11:12,24-32,Student,A few times a week,A few times a day,ChatGPT,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products",4th,Most useful,Most useful,4th,2nd,I want it to remember where I'm storing my data I always use to lose it,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",4th,4th,2nd,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part, Depends on how personal or sensitive it is","Fade automatically after a while, Stay stored until I manually delete it","No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",Broad area of my work and I used to work on multiple projects so it would be better if  it knows the context of project beforehand.,"So, sometimes it tries to answer it in Bengali as I talk in regional language with ai but then mostly it fails in answering domain specific answers focussing on the language.",If it starts giving wrong solutions...stops working for long time also if I see it is misusing my personal data.
07/09/2026 22:27:20,20-24,Working professional (individual contributor),Daily,Constantly,Claude,"Yes, more than once","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,Most useful,3rd,2nd,3rd,,"Reset completely — new job, new slate","Only if I explicitly say ""remember this""",Least Useful,Most Useful,3rd,2nd,Most Useful,,"Relationship status or conflicts, Financial situation, Your emotional or mental state",Depends on how personal or sensitive it is,"Stay stored until I manually delete it, Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
07/09/2026 23:03:16,20-24,Student,A few times a week,A few times a day,Gemini,"Yes, once or twice",Not comfortable at all,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Never share my data with other companies/products, Nothing — I don't think I'll ever fully trust it",3rd,3rd,2nd,Least useful,Least useful,,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Least Useful,Least Useful,Least Useful,Least Useful,Least Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part","Fade automatically after a while, Stay stored until I manually delete it","No, keep sensitive personal moments out entirely","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",My academic background and interests. It could also eventually adapt to my kind of prompting and answering questions in the sound the same with the same equal and opposite enthusiasm. ,I use AI for various assignment or research purposes. When I give a prompt in general it eventually goes to history and connects dots towards my previous assignments,"Data storing in cloud, I have no idea where it stores and who has its access. What if it's used against me in any future incidents?"
08/09/2026 09:48:36,20-24,Student,Never,A few times a day,Claude,"Yes, once or twice",Very comfortable — I don't think much about it,Never share my data with other companies/products,Most useful,Most useful,Most useful,Most useful,Most useful,everything,"Keep everything, just let me organize/tag it","Yes, if it helps me later",Most Useful,Most Useful,Most Useful,Most Useful,Most Useful,everything,None of these — I'm fine with all of it,"Yes, remember it just like anything else",Fade automatically after a while,"Yes, if it helps me later","Knowing it only remembers what I explicitly shared, never what it inferred",,,
08/09/2026 11:57:17,20-24,Student,Daily,Constantly,ChatGPT,"Yes, once or twice","Only comfortable with certain things, not others","Clearly show me what they've stored about me, Let me delete or edit stored data easily, Explain why they used a piece of information, Never share my data with other companies/products",Most useful,Most useful,Most useful,Most useful,2nd,,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",3rd,2nd,Most Useful,Most Useful,Most Useful,,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","No, only remember the work-related part",Fade automatically after a while,"No, keep sensitive personal moments out entirely","Being able to delete it instantly, Nothing — I'd never be fully comfortable with this",,,
08/09/2026 13:55:17,20-24,Student,Daily,Constantly,ChatGPT,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Clearly show me what they've stored about me, Let me delete or edit stored data easily, Ask permission before saving something new, Explain why they used a piece of information, Never share my data with other companies/products, Store everything on my device, not the cloud",Most useful,Most useful,Most useful,Most useful,Most useful,birthdays,"Keep everything, just let me organize/tag it","Only if I explicitly say ""remember this""",3rd,2nd,4th,Most Useful,2nd,,"Relationship status or conflicts, Your emotional or mental state",Depends on how personal or sensitive it is,"Let me choose, per item","Only if I explicitly say ""remember this""","Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",the way I want to do work in a few domains ,,
08/09/2026 18:10:25,24-32,Working professional (individual contributor),Rarely,Constantly,Claude,"Yes, more than once",Somewhat comfortable — I share but stay a little cautious,"Let me delete or edit stored data easily, Never share my data with other companies/products",4th,Most useful,2nd,3rd,Least useful,If it can become like a Alexa for me where I just say and it can have a conversation with me that will be the best thing in the world,Let it figure out what's still relevant on its own,"Only if I explicitly say ""remember this""",3rd,2nd,4th,Most Useful,Least Useful,If  they can remember the words and the things that happened with the specific person that will be great. ,"Relationship status or conflicts, Health or medical details, Financial situation, Your emotional or mental state","Yes, remember it just like anything else","Fade automatically after a while, Let me choose, per item","Only if I explicitly say ""remember this""","Full visibility into everything it's stored, Knowing it's never used for ads/marketing, Being able to delete it instantly, Knowing it only remembers what I explicitly shared, never what it inferred",,,
